,country,continent,year,Country_code,Total_population,Life_satisfaction,GDP_per_capita
62,Afghanistan,Asia,2008,AFG,29839994.0,3.723589897,1298.14315888
63,Afghanistan,Asia,2009,AFG,30577756.0,4.401778221,1531.17399272
64,Afghanistan,Asia,2010,AFG,31411743.0,4.75838089,1614.25500126
65,Afghanistan,Asia,2011,AFG,32358260.0,3.83171916,1660.73985618
66,Afghanistan,Asia,2012,AFG,33397058.0,3.782937527,1839.27357928
67,Afghanistan,Asia,2013,AFG,34499915.0,3.572100401,1814.15582533
167,Albania,Europe,2007,ALB,3169665.0,4.634251595,8447.88228539
169,Albania,Europe,2009,ALB,3192723.0,5.485469818,9524.60981095
170,Albania,Europe,2010,ALB,3204284.0,5.268936634,9927.13514733
171,Albania,Europe,2011,ALB,3215988.0,5.867421627,10207.7006745
172,Albania,Europe,2012,ALB,3227373.0,5.510124207,10369.7616592
173,Albania,Europe,2013,ALB,3238316.0,4.550647736,10504.0930888
242,Algeria,Africa,2010,DZA,35468208.0,5.46356678,12870.2162376
243,Algeria,Africa,2011,DZA,35980193.0,5.317194462,12989.9549601
244,Algeria,Africa,2012,DZA,36485828.0,5.604595661,13161.566464
451,Angola,Africa,2011,AGO,19618432.0,5.589000702,5911.25433387
452,Angola,Africa,2012,AGO,20162517.0,4.360249996,5998.63860099
